Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2008,0,0,"Burlington Community School District, Iowa",264,73.1,28646,0.49,0.51,0.07,0.16,0.77,0.9,0.1,0.83,0.17,40359
2008,0,1,"Canton City School District, Ohio",764,62.6,63748,0.47,0.53,0.06,0.19,0.75,0.71,0.29,0.9,0.1,27609
2013,1,1,"Canton City School District, Ohio",703,66.4,61216,0.45,0.55,0.08,0.18,0.75,0.68,0.32,0.89,0.11,25857
2013,1,0,"Cedar Falls Community School District, Iowa",383,82.5,41332,0.48,0.52,0.06,0.13,0.82,0.94,0.06,0.55,0.45,49093
2008,0,0,"Cedar Falls Community School District, Iowa",313,82.1,39632,0.49,0.51,0.05,0.12,0.82,0.94,0.06,0.55,0.45,50623
2013,1,0,"Cedar Rapids Community School District, Iowa",1059,72.2,122039,0.49,0.51,0.07,0.16,0.77,0.88,0.12,0.7,0.3,48990
2008,0,0,"Cedar Rapids Community School District, Iowa",1152,69,121615,0.5,0.5,0.06,0.17,0.76,0.9,0.1,0.73,0.27,49442
2008,0,1,"Centerville City School District, Ohio",607,89.5,57844,0.47,0.53,0.05,0.17,0.78,0.9,0.1,0.53,0.47,75505
2013,1,1,"Centerville City School District, Ohio",597,93.1,56664,0.47,0.53,0.05,0.16,0.79,0.87,0.13,0.51,0.49,59725
2008,0,1,"Chardon Local School District, Ohio",231,92.2,21527,0.51,0.49,0.06,0.16,0.78,0.93,0.7,0.67,0.33,67329
2013,1,1,"Chardon Local School District, Ohio",220,95.5,20549,0.47,0.53,0.04,0.18,0.78,0.93,0.7,0.7,0.3,58610
2008,0,1,"Chillicothe City School District, Ohio",232,78.9,21958,0.46,0.54,0.07,0.15,0.79,0.9,0.1,0.86,0.14,37889
2013,1,1,"Chillicothe City School District, Ohio",170,85.9,22777,0.51,0.49,0.04,0.15,0.8,0.9,0.1,0.85,0.15,33268
2008,0,1,"Cincinnati City School District, Ohio",2412,58,334076,0.47,0.53,0.07,0.15,0.78,0.53,0.47,0.71,0.29,34950
2013,1,1,"Cincinnati City School District, Ohio",2320,72,330778,0.48,0.52,0.07,0.15,0.78,0.53,0.47,0.68,0.32,31676
2008,0,1,"Cleveland Heights-University Heights City School District, Ohio",342,65.5,56438,0.47,0.53,0.08,0.16,0.76,0.6,0.4,0.46,0.54,53154
2013,1,1,"Cleveland Heights-University Heights City School District, Ohio",376,66.8,57265,0.45,0.55,0.07,0.16,0.77,0.57,0.43,0.46,0.54,48615
2008,0,1,"Cleveland Municipal School District, Ohio",3515,46.5,399940,0.48,0.52,0.07,0.19,0.74,0.41,0.59,0.88,0.12,28331
2013,1,1,"Cleveland Municipal School District, Ohio",2621,55,393889,0.48,0.52,0.07,0.16,0.77,0.41,0.59,0.85,0.15,24153
2013,1,0,"Clinton Community School District, Iowa",230,87.8,26155,0.49,0.51,0.07,0.16,0.77,0.9,0.1,0.81,0.19,39470
2008,0,0,"Clinton Community School District, Iowa",271,73.4,26275,0.48,0.52,0.07,0.17,0.77,0.93,0.07,0.85,0.15,39096
2013,1,0,"College Community School District, Iowa",349,76.8,23421,0.48,0.52,0.07,0.18,0.75,0.93,0.07,0.69,0.31,57017
2008,0,0,"College Community School District, Iowa",305,84.6,21180,0.48,0.52,0.08,0.18,0.73,0.93,0.07,0.73,0.27,54833
2008,0,1,"Columbus City School District, Ohio",4193,52.7,452667,0.49,0.51,0.07,0.14,0.79,0.6,0.4,0.72,0.28,36876
2013,1,1,"Columbus City School District, Ohio",3989,58.4,503605,0.49,0.51,0.07,0.13,0.8,0.56,0.44,0.71,0.29,34237
2008,0,1,"Copley-Fairlawn City School District, Ohio",252,89.3,21059,0.49,0.51,0.05,0.19,0.76,0.74,0.26,0.51,0.49,63229
