Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2013,1,1,"Medina City School District, Ohio",546,89.7,44938,0.48,0.52,0.07,0.2,0.73,0.94,0.06,0.62,0.38,60725
2008,0,1,"Mentor Exempted Village School District, Ohio",582,90.2,63387,0.48,0.52,0.06,0.17,0.77,0.96,0.04,0.71,0.29,63500
2013,1,1,"Mentor Exempted Village School District, Ohio",593,88.7,61422,0.48,0.52,0.05,0.15,0.8,0.97,0.03,0.7,0.3,59863
2008,0,1,"Miamisburg City School District, Ohio",456,84,36273,0.48,0.52,0.08,0.17,0.75,0.9,0.1,0.72,0.28,54361
2013,1,1,"Miamisburg City School District, Ohio",424,85.4,38495,0.48,0.52,0.07,0.17,0.76,0.9,0.1,0.73,0.27,48684
2008,0,1,"Middletown City School District, Ohio",483,62.5,49996,0.47,0.53,0.07,0.17,0.76,0.83,0.17,0.87,0.13,40316
2013,1,1,"Middletown City School District, Ohio",499,68.3,49113,0.48,0.52,0.08,0.16,0.76,0.82,0.18,0.84,0.16,33689
2008,0,1,"Midview Local School District, Ohio",219,85.4,23703,0.58,0.42,0.03,0.15,0.81,0.86,0.14,0.86,0.14,63503
2013,1,1,"Midview Local School District, Ohio",217,87.1,23845,0.59,0.41,0.03,0.14,0.83,0.85,0.15,0.86,0.14,57480
2008,0,1,"Milford Exempted Village School District, Ohio",515,86.2,40167,0.47,0.53,0.07,0.21,0.72,0.95,0.05,0.66,0.34,67232
2013,1,1,"Milford Exempted Village School District, Ohio",513,94,43755,0.49,0.51,0.07,0.21,0.73,0.94,0.06,0.64,0.36,65787
2008,0,1,"Mount Healthy City School District, Ohio",261,55.6,26306,0.48,0.52,0.07,0.19,0.74,0.14,0.86,0.83,0.17,45133
2013,1,1,"Mount Healthy City School District, Ohio",259,59.1,22811,0.51,0.49,0.07,0.2,0.73,0.14,0.86,0.83,0.17,36977
2008,0,1,"Mount Vernon City School District, Ohio",297,77.1,29412,0.48,0.52,0.05,0.14,0.81,0.97,0.03,0.79,0.21,41102
2013,1,1,"Mount Vernon City School District, Ohio",313,86.6,30874,0.47,0.53,0.06,0.13,0.81,0.96,0.04,0.79,0.21,41899
2013,1,0,"Muscatine Community School District, Iowa",336,79.5,29366,0.48,0.52,0.07,0.19,0.73,0.91,0.09,0.82,0.18,46682
2008,0,0,"Muscatine Community School District, Iowa",372,80.9,28859,0.5,0.5,0.07,0.18,0.75,0.94,0.06,0.76,0.24,52604
2008,0,1,"New Albany-Plain Local School District, Ohio",338,91.4,20403,0.48,0.52,0.09,0.23,0.68,0.85,0.15,0.4,0.6,97888
2013,1,1,"New Albany-Plain Local School District, Ohio",383,93.5,23029,0.48,0.52,0.09,0.25,0.66,0.78,0.22,.,.,104083
2008,0,1,"New Philadelphia City School District, Ohio",175,80.6,22041,0.48,0.52,0.06,0.13,0.8,0.84,0.16,0.86,0.14,41439
2013,1,1,"New Philadelphia City School District, Ohio",227,81.1,22344,0.49,0.51,0.06,0.15,0.79,0.8,0.2,0.85,0.15,37895
2008,0,1,"Newark City School District, Ohio",523,74.6,47618,0.48,0.52,0.08,0.14,0.77,0.95,0.05,0.84,0.16,39342
2013,1,1,"Newark City School District, Ohio",490,79.8,48038,0.48,0.52,0.07,0.17,0.76,0.92,0.08,0.86,0.14,35052
2013,1,0,"Newton Community School District, Iowa",188,78.2,21451,0.52,0.48,0.05,0.15,0.8,0.95,0.05,0.81,0.19,46470
2008,0,0,"Newton Community School District, Iowa",206,78.2,20753,0.5,0.5,0.05,0.16,0.79,0.96,0.04,0.83,0.17,43372
2008,0,1,"Nordonia Hills City School District, Ohio",243,82.7,31588,0.49,0.51,0.06,0.16,0.78,0.89,0.11,0.63,0.37,74815
2013,1,1,"Nordonia Hills City School District, Ohio",241,89.6,32440,0.47,0.53,0.05,0.15,0.8,0.84,0.16,0.64,0.36,68828
2008,0,1,"North Canton City School District, Ohio",248,87.5,31282,0.46,0.54,0.06,0.2,0.74,0.9,0.1,0.61,0.39,57363
2013,1,1,"North Canton City School District, Ohio",211,93.4,29420,0.47,0.53,0.06,0.16,0.79,0.89,0.11,0.61,0.39,51057
2008,0,1,"North Olmsted City School District, Ohio",337,86.7,33119,0.49,0.51,0.06,0.16,0.78,0.94,0.06,0.7,0.3,61378
2013,1,1,"North Olmsted City School District, Ohio",285,87.4,32280,0.49,0.51,0.05,0.16,0.79,0.93,0.07,0.7,0.3,57426
2008,0,1,"North Ridgeville City School District, Ohio",278,73.7,27129,0.48,0.52,0.06,0.16,0.77,0.95,0.05,0.77,0.23,64056
2013,1,1,"North Ridgeville City School District, Ohio",312,86.2,30628,0.5,0.5,0.08,0.15,0.77,0.95,0.05,0.7,0.3,61078
2008,0,1,"North Royalton City School District, Ohio",300,93.3,35960,0.49,0.51,0.06,0.16,0.78,0.94,0.06,0.65,0.35,67448
2013,1,1,"North Royalton City School District, Ohio",309,92.9,35633,0.48,0.52,0.04,0.16,0.8,0.92,0.08,0.65,0.35,63985
2008,0,1,"Northeastern Local School District (Champaign and Clark Counties), Ohio",279,68.8,21049,0.47,0.53,0.03,0.17,0.79,.,.,0.82,0.18,56065
2013,1,1,"Northeastern Local School District (Champaign and Clark Counties), Ohio",251,84.1,22461,0.48,0.52,0.03,0.2,0.77,.,.,0.77,0.23,53414
2008,0,1,"Northmont City School District, Ohio",276,77.5,35561,0.5,0.5,0.06,0.19,0.75,0.85,0.15,0.73,0.27,63486
2013,1,1,"Northmont City School District, Ohio",301,83.4,34854,0.47,0.53,0.05,0.17,0.78,0.83,0.17,0.73,0.27,54345
2008,0,1,"Northwest Local School District (Butler and Hamilton Counties), Ohio",583,71.9,81461,0.48,0.52,0.06,0.19,0.75,0.84,0.16,0.74,0.26,57270
2013,1,1,"Northwest Local School District (Butler and Hamilton Counties), Ohio",587,75.5,77554,0.48,0.52,0.06,0.18,0.76,0.8,0.2,0.75,0.25,55670
2008,0,1,"Oak Hills Local School District, Ohio",518,83.4,70081,0.48,0.52,0.06,0.2,0.75,0.98,0.02,0.74,0.26,68577
2013,1,1,"Oak Hills Local School District, Ohio",539,87.2,62530,0.47,0.53,0.06,0.17,0.77,0.95,0.05,0.71,0.29,60473
2008,0,1,"Olentangy Local School District, Ohio",1122,86.5,64566,0.51,0.49,0.09,0.21,0.7,0.87,0.13,0.38,0.62,103096
2013,1,1,"Olentangy Local School District, Ohio",1542,93.8,78137,0.5,0.5,0.08,0.25,0.67,0.85,0.15,0.39,0.61,99606
2008,0,1,"Olmsted Falls City School District, Ohio",273,86.5,22272,0.47,0.53,0.07,0.19,0.74,0.92,0.08,0.66,0.34,65856
2013,1,1,"Olmsted Falls City School District, Ohio",296,93.6,23762,0.49,0.51,0.06,0.19,0.76,0.91,0.09,0.64,0.36,64861
2008,0,1,"Oregon City School District, Ohio",286,78.7,23706,0.47,0.53,0.04,0.18,0.78,0.94,0.06,0.85,0.15,53323
2013,1,1,"Oregon City School District, Ohio",288,88.9,23387,0.48,0.52,0.05,0.17,0.78,0.92,0.08,0.82,0.18,49873
2013,1,0,"Ottumwa Community School District, Iowa",315,61,28862,0.49,0.51,0.07,0.16,0.77,0.92,0.08,0.84,0.16,36816
2008,0,0,"Ottumwa Community School District, Iowa",279,67.4,27561,0.49,0.51,0.06,0.16,0.77,0.92,0.08,0.85,0.15,36212
2008,0,1,"Parma City School District, Ohio",799,73,115912,0.48,0.52,0.06,0.15,0.79,0.94,0.06,0.8,0.2,49075
2013,1,1,"Parma City School District, Ohio",669,81.8,112916,0.48,0.52,0.06,0.14,0.8,0.92,0.08,0.79,0.21,46328
2008,0,1,"Perry Local School District (Stark County), Ohio",220,81.4,30129,0.49,0.51,0.07,0.14,0.8,0.88,0.12,0.83,0.17,51532
2013,1,1,"Perry Local School District (Stark County), Ohio",323,88.9,30168,0.47,0.53,0.04,0.16,0.8,0.88,0.12,0.84,0.16,48764
2008,0,1,"Perrysburg Exempted Village School District, Ohio",332,87.1,25746,0.47,0.53,0.07,0.21,0.72,0.94,0.06,0.5,0.5,71148
2013,1,1,"Perrysburg Exempted Village School District, Ohio",384,95.8,27808,0.5,0.5,0.05,0.2,0.74,0.91,0.09,0.52,0.48,72465
2008,0,1,"Pickerington Local School District, Ohio",734,85.2,44292,0.5,0.5,0.07,0.22,0.71,0.79,0.21,0.61,0.39,78926
2013,1,1,"Pickerington Local School District, Ohio",713,89.2,49364,0.5,0.5,0.06,0.23,0.72,0.77,0.23,0.6,0.4,76829
2008,0,1,"Piqua City School District, Ohio",257,76.3,24167,0.48,0.52,0.06,0.18,0.76,0.85,0.15,0.86,0.14,45762
2013,1,1,"Piqua City School District, Ohio",277,87,23720,0.48,0.52,0.09,0.16,0.75,0.83,0.17,0.89,0.11,33647
2008,0,1,"Plain Local School District, Ohio",447,79.6,47154,0.48,0.52,0.06,0.13,0.81,0.88,0.12,0.74,0.26,49423
2013,1,1,"Plain Local School District, Ohio",408,83.1,48675,0.49,0.51,0.06,0.15,0.79,0.87,0.13,0.73,0.27,44841
2013,1,0,"Pleasant Valley Community School District, Iowa",279,91.4,20927,0.49,0.51,0.06,0.18,0.77,0.9,0.1,0.47,0.53,74162
2008,0,0,"Pleasant Valley Community School District, Iowa",235,80.9,20155,0.49,0.51,0.07,0.22,0.7,0.93,0.07,0.52,0.48,80186
2008,0,1,"Portsmouth City School District, Ohio",189,68.3,19642,0.44,0.56,0.06,0.15,0.79,0.9,0.1,0.84,0.16,22279
2013,1,1,"Portsmouth City School District, Ohio",162,77.2,21687,0.47,0.53,0.04,0.15,0.81,0.9,0.1,0.84,0.16,27665
2008,0,1,"Princeton City School District, Ohio",370,71.1,45111,0.51,0.49,0.07,0.17,0.77,0.64,0.36,0.66,0.34,54503
2013,1,1,"Princeton City School District, Ohio",418,74.4,43644,0.48,0.52,0.07,0.17,0.76,0.63,0.37,0.66,0.34,47662
2008,0,1,"Ravenna City School District, Ohio",219,72.2,21458,0.5,0.5,0.06,0.15,0.79,0.75,0.25,0.86,0.14,42168
2013,1,1,"Ravenna City School District, Ohio",184,81,20747,0.47,0.53,0.05,0.16,0.79,0.73,0.27,0.86,0.14,36149
2008,0,1,"Reynoldsburg City School District, Ohio",462,79.9,36213,0.48,0.52,0.07,0.22,0.71,0.72,0.28,0.73,0.27,54911
2013,1,1,"Reynoldsburg City School District, Ohio",433,87.3,38236,0.48,0.52,0.06,0.18,0.76,0.7,0.3,0.69,0.31,54777
2008,0,1,"Rocky River City School District, Ohio",105,88.6,21245,0.47,0.53,0.06,0.17,0.76,0.9,0.1,0.5,0.5,64256
2013,1,1,"Rocky River City School District, Ohio",123,93.5,20616,0.46,0.54,0.05,0.18,0.78,0.9,0.1,0.44,0.56,62715
2008,0,1,"Sandusky City School District, Ohio",258,74.8,25739,0.46,0.54,0.08,0.14,0.78,0.73,0.27,0.87,0.13,35073
2013,1,1,"Sandusky City School District, Ohio",264,70.8,25453,0.49,0.51,0.06,0.15,0.79,0.71,0.29,0.84,0.16,34069
2008,0,1,"Shaker Heights City School District, Ohio",290,73.1,31816,0.45,0.55,0.05,0.22,0.73,0.51,0.49,0.38,0.62,66312
2013,1,1,"Shaker Heights City School District, Ohio",304,86.2,31801,0.45,0.55,0.06,0.2,0.74,0.52,0.48,0.37,0.63,61416
2008,0,1,"Sidney City School District, Ohio",233,76,24284,0.49,0.51,0.06,0.18,0.76,0.92,0.08,0.87,0.13,44683
2013,1,1,"Sidney City School District, Ohio",276,77.9,25379,0.49,0.51,0.07,0.18,0.75,0.92,0.08,0.87,0.13,42003
2013,1,0,"Sioux City Community School District, Iowa",987,68.1,83494,0.49,0.51,0.08,0.18,0.74,0.82,0.18,0.81,0.19,39430
2008,0,0,"Sioux City Community School District, Iowa",982,64.5,82946,0.49,0.51,0.08,0.19,0.73,0.85,0.15,0.8,0.2,43317
2008,0,1,"Solon City School District, Ohio",357,92.7,24407,0.48,0.52,0.05,0.23,0.73,0.74,0.26,0.39,0.61,101464
2013,1,1,"Solon City School District, Ohio",324,96.6,23462,0.48,0.52,0.05,0.22,0.74,0.74,0.26,0.41,0.59,91535
2008,0,1,"South Euclid-Lyndhurst City School District, Ohio",263,77.6,36167,0.46,0.54,0.07,0.15,0.77,0.74,0.26,0.6,0.4,59916
2013,1,1,"South Euclid-Lyndhurst City School District, Ohio",266,83.5,34996,0.49,0.51,0.06,0.14,0.81,0.7,0.3,0.56,0.44,59405
2013,1,0,"Southeast Polk Community School District, Iowa",402,78.4,34183,0.5,0.5,0.06,0.19,0.75,0.95,0.05,0.7,0.3,69147
2008,0,0,"Southeast Polk Community School District, Iowa",394,77.4,32478,0.48,0.52,0.07,0.19,0.74,0.95,0.05,0.75,0.25,71709
2008,0,1,"Southwest Licking Local School District, Ohio",303,79.5,22566,0.49,0.51,0.08,0.17,0.75,0.96,0.04,0.74,0.26,71495
2013,1,1,"Southwest Licking Local School District, Ohio",298,81.9,23427,0.5,0.5,0.07,0.17,0.77,0.96,0.04,0.73,0.27,67696
2008,0,1,"Southwest Local School District, Ohio",272,80.5,25048,0.49,0.51,0.08,0.2,0.72,0.92,0.08,0.84,0.16,56496
2013,1,1,"Southwest Local School District, Ohio",279,85.3,22138,0.49,0.51,0.07,0.17,0.76,0.9,0.1,0.79,0.21,54114
2008,0,1,"South-Western City School District, Ohio",1543,64.7,133109,0.49,0.51,0.09,0.2,0.7,0.87,0.13,0.81,0.19,52485
2013,1,1,"South-Western City School District, Ohio",1468,71.7,136441,0.48,0.52,0.08,0.17,0.75,0.86,0.14,0.8,0.2,47163
2008,0,1,"Springboro Community City School District, Ohio",408,93.4,27354,0.49,0.51,0.07,0.22,0.71,0.93,0.07,0.53,0.47,93650
2013,1,1,"Springboro Community City School District, Ohio",441,95,31086,0.5,0.5,0.07,0.24,0.69,0.93,0.07,0.5,0.5,96506
2008,0,1,"Springfield City School District, Ohio",628,48.3,58432,0.48,0.52,0.07,0.17,0.76,0.77,0.23,0.85,0.15,33948
2013,1,1,"Springfield City School District, Ohio",552,68.5,56808,0.48,0.52,0.08,0.17,0.75,0.74,0.26,0.85,0.15,27751
2008,0,1,"Springfield Local School District (Lucas County), Ohio",297,79.1,30825,0.49,0.51,0.07,0.17,0.77,0.84,0.16,0.7,0.3,57098
2013,1,1,"Springfield Local School District (Lucas County), Ohio",323,85.1,30392,0.51,0.49,0.07,0.16,0.77,0.78,0.22,0.66,0.34,47789
2008,0,1,"Stow-Munroe Falls City School District, Ohio",424,83.3,40403,0.49,0.51,0.06,0.18,0.75,0.95,0.05,0.57,0.43,68291
2013,1,1,"Stow-Munroe Falls City School District, Ohio",375,91.5,39801,0.47,0.53,0.06,0.16,0.78,0.94,0.06,0.6,0.4,59532
2008,0,1,"Strongsville City School District, Ohio",507,88,47745,0.49,0.51,0.05,0.19,0.76,0.92,0.08,0.6,0.4,80171
2013,1,1,"Strongsville City School District, Ohio",453,89.2,44759,0.49,0.51,0.05,0.18,0.78,0.91,0.09,0.57,0.43,72214
2008,0,1,"Sycamore Community City School District, Ohio",364,94.2,36635,0.48,0.52,0.05,0.2,0.75,0.83,0.17,0.43,0.57,87572
2013,1,1,"Sycamore Community City School District, Ohio",387,94.8,34219,0.5,0.5,0.06,0.19,0.75,0.81,0.19,0.37,0.63,75269
2008,0,1,"Sylvania City School District, Ohio",500,85.4,51467,0.48,0.52,0.06,0.21,0.73,0.91,0.09,0.57,0.43,72167
2013,1,1,"Sylvania City School District, Ohio",565,91.2,51901,0.46,0.54,0.05,0.18,0.78,0.9,0.1,0.59,0.41,64815
2008,0,1,"Talawanda City School District, Ohio",216,84.7,34844,0.49,0.51,0.04,0.1,0.86,0.92,0.08,0.68,0.32,38576
2013,1,1,"Talawanda City School District, Ohio",212,92,35982,0.52,0.48,0.02,0.09,0.89,0.93,0.07,0.64,0.36,47351
2008,0,1,"Teays Valley Local School District, Ohio",276,72.8,22032,0.58,0.42,0.06,0.16,0.78,0.89,0.11,0.88,0.12,63291
2013,1,1,"Teays Valley Local School District, Ohio",284,90.9,23047,0.57,0.43,0.06,0.18,0.76,0.89,0.11,0.81,0.19,59274
2008,0,1,"Tiffin City School District, Ohio",149,84.6,22251,0.48,0.52,0.06,0.15,0.79,0.96,0.04,0.8,0.2,40325
2013,1,1,"Tiffin City School District, Ohio",172,80.8,22182,0.48,0.52,0.05,0.16,0.8,0.95,0.05,0.84,0.16,34425
2008,0,1,"Toledo City School District, Ohio",2043,58.5,229491,0.48,0.52,0.07,0.17,0.75,0.63,0.37,0.83,0.17,34151
2013,1,1,"Toledo City School District, Ohio",1797,67.2,226277,0.49,0.51,0.07,0.16,0.77,0.59,0.41,0.84,0.16,28377
2008,0,1,"Trotwood-Madison City School District, Ohio",193,51.3,20821,0.45,0.55,0.1,0.17,0.74,0.26,0.74,0.79,0.21,37237
2013,1,1,"Trotwood-Madison City School District, Ohio",141,67.4,20763,0.42,0.58,0.05,0.16,0.79,0.26,0.74,0.86,0.14,32804
2008,0,1,"Troy City School District, Ohio",330,87.9,29880,0.5,0.5,0.06,0.17,0.77,0.93,0.07,0.75,0.25,51335
2013,1,1,"Troy City School District, Ohio",362,86.2,30551,0.5,0.5,0.04,0.19,0.77,0.91,0.09,0.76,0.24,50544
2008,0,1,"Twinsburg City School District, Ohio",222,75.7,24694,0.49,0.51,0.07,0.21,0.72,0.77,0.23,0.6,0.4,70248
2013,1,1,"Twinsburg City School District, Ohio",216,90.7,24944,0.47,0.53,0.06,0.2,0.74,0.75,0.25,0.58,0.42,64562
2008,0,1,"Upper Arlington City School District, Ohio",23,60.9,34786,0.47,0.53,0.05,0.21,0.73,0.93,0.07,0.3,0.7,92184
2013,1,1,"Upper Arlington City School District, Ohio",449,93.3,34770,0.48,0.52,0.07,0.2,0.74,0.92,0.08,0.26,0.74,86144
2013,1,0,"Urbandale Community School District, Iowa",263,82.5,19726,0.49,0.51,0.05,0.18,0.77,0.92,0.08,0.58,0.42,62848
2008,0,0,"Urbandale Community School District, Iowa",248,79,21585,0.51,0.49,0.08,0.21,0.71,0.92,0.08,0.54,0.46,71573
2008,0,1,"Vandalia-Butler City School District, Ohio",272,85.3,25117,0.5,0.5,0.06,0.17,0.77,0.93,0.07,0.75,0.25,51093
2013,1,1,"Vandalia-Butler City School District, Ohio",225,88.9,23658,0.48,0.52,0.05,0.17,0.78,0.8,0.2,0.74,0.26,54392
2008,0,1,"Wadsworth City School District, Ohio",278,81.3,26271,0.49,0.51,0.05,0.19,0.75,0.79,0.21,0.69,0.31,63713
2013,1,1,"Wadsworth City School District, Ohio",293,90.4,27453,0.5,0.5,0.07,0.2,0.73,0.96,0.04,0.69,0.31,53825
2008,0,1,"Warren City School District, Ohio",430,50.5,39859,0.48,0.52,0.08,0.18,0.74,0.68,0.32,0.9,0.1,30198
2013,1,1,"Warren City School District, Ohio",385,54.8,37625,0.46,0.54,0.07,0.18,0.75,0.67,0.33,0.9,0.1,25527
2008,0,1,"Washington Local School District, Ohio",353,72.8,50822,0.48,0.52,0.08,0.17,0.75,0.88,0.12,0.85,0.15,42950
2013,1,1,"Washington Local School District, Ohio",482,81.7,50312,0.49,0.51,0.06,0.18,0.76,0.86,0.14,0.85,0.15,36550
2013,1,0,"Waterloo Community School District, Iowa",750,56.5,77469,0.49,0.51,0.07,0.16,0.77,0.81,0.19,0.82,0.18,39107
2008,0,0,"Waterloo Community School District, Iowa",684,64.9,75734,0.47,0.53,0.07,0.17,0.76,0.83,0.17,0.82,0.18,41377
2013,1,0,"Waukee Community School District, Iowa",569,86.8,41828,0.49,0.51,0.1,0.21,0.69,0.91,0.09,0.44,0.56,79870
2008,0,0,"Waukee Community School District, Iowa",450,85.1,28936,0.48,0.52,0.1,0.2,0.71,0.94,0.06,0.47,0.53,84643
2008,0,1,"West Carrollton City School District, Ohio",296,72.6,27274,0.49,0.51,0.06,0.15,0.79,0.88,0.12,0.82,0.18,44159
2013,1,1,"West Carrollton City School District, Ohio",281,78.3,28569,0.47,0.53,0.08,0.15,0.77,0.83,0.17,0.83,0.17,38427
2008,0,1,"West Clermont Local School District, Ohio",678,78.2,65516,0.49,0.51,0.08,0.18,0.75,0.96,0.04,0.76,0.24,55198
2013,1,1,"West Clermont Local School District, Ohio",660,80,68765,0.5,0.5,0.07,0.15,0.77,0.95,0.05,0.77,0.23,51870
2013,1,0,"West Des Moines Community School District, Iowa",585,84.1,67434,0.49,0.51,0.06,0.18,0.76,0.87,0.13,0.48,0.52,64436
2008,0,0,"West Des Moines Community School District, Iowa",571,78.8,63911,0.49,0.51,0.07,0.18,0.75,0.9,0.1,0.51,0.49,64362
2013,1,0,"Western Dubuque Community School District, Iowa",166,79.5,22660,0.49,0.51,0.07,0.23,0.7,0.94,0.06,0.81,0.19,57306
2008,0,0,"Western Dubuque Community School District, Iowa",199,73.9,21627,0.5,0.5,0.07,0.2,0.73,0.92,0.08,0.79,0.21,56454
2008,0,1,"Westerville City School District, Ohio",1000,84.6,85634,0.48,0.52,0.07,0.2,0.74,0.81,0.19,0.54,0.46,69242
2013,1,1,"Westerville City School District, Ohio",1103,88.5,95457,0.48,0.52,0.06,0.18,0.76,0.79,0.21,0.5,0.5,65185
2008,0,1,"Westlake City School District, Ohio",260,92.3,31356,0.48,0.52,0.04,0.17,0.79,0.89,0.11,0.53,0.47,70522
2013,1,1,"Westlake City School District, Ohio",287,92.3,32500,0.46,0.54,0.05,0.17,0.77,0.9,0.1,0.45,0.55,72327
2008,0,1,"Willoughby-Eastlake City School District, Ohio",573,84.8,66983,0.48,0.52,0.04,0.16,0.8,0.94,0.06,0.77,0.23,53565
2013,1,1,"Willoughby-Eastlake City School District, Ohio",544,87.1,65174,0.49,0.51,0.05,0.15,0.81,0.91,0.09,0.75,0.25,45885
2008,0,1,"Wilmington City School District, Ohio",263,71.9,21124,0.48,0.52,0.08,0.16,0.77,0.92,0.08,0.84,0.16,47351
2013,1,1,"Wilmington City School District, Ohio",251,76.1,19955,0.47,0.53,0.06,0.17,0.77,0.92,0.08,0.84,0.16,38877
2008,0,1,"Winton Woods City School District, Ohio",286,72.7,29406,0.48,0.52,0.07,0.19,0.74,0.45,0.55,0.69,0.31,55087
2013,1,1,"Winton Woods City School District, Ohio",252,70.2,26331,0.47,0.53,0.07,0.18,0.76,0.43,0.57,0.7,0.3,46952
2008,0,1,"Wooster City School District, Ohio",265,78.9,28516,0.47,0.53,0.06,0.14,0.79,0.93,0.07,0.74,0.26,41891
2013,1,1,"Wooster City School District, Ohio",270,86.7,29236,0.48,0.52,0.07,0.14,0.79,0.93,0.07,0.72,0.28,39879
2008,0,1,"Worthington City School District, Ohio",647,87.5,58316,0.51,0.49,0.07,0.18,0.75,0.85,0.15,0.45,0.55,72788
2013,1,1,"Worthington City School District, Ohio",709,90.8,63798,0.47,0.53,0.08,0.18,0.74,0.82,0.18,0.44,0.56,66982
2008,0,1,"Xenia Community City School District, Ohio",390,70.3,34111,0.46,0.54,0.08,0.16,0.77,0.83,0.17,0.79,0.21,44924
2013,1,1,"Xenia Community City School District, Ohio",330,75.5,37504,0.47,0.53,0.06,0.16,0.77,0.83,0.17,0.78,0.22,42511
2008,0,1,"Youngstown City School District, Ohio",493,58.4,69438,0.49,0.51,0.05,0.17,0.78,0.49,0.51,0.89,0.11,25800
2013,1,1,"Youngstown City School District, Ohio",417,55.9,67897,0.49,0.51,0.07,0.15,0.78,0.5,0.5,0.89,0.11,22947
2008,0,1,"Zanesville City School District, Ohio",300,59.3,26733,0.47,0.53,0.07,0.16,0.77,0.87,0.13,0.87,0.13,31124
2013,1,1,"Zanesville City School District, Ohio",252,73.8,27079,0.49,0.51,0.08,0.17,0.75,0.86,0.14,0.88,0.12,26585
