tot_pop_log,median_inc_log,year,after,ohio,school_district,number_tested,pct_prof_or_above,tot_pop,perc_male,perc_female,perc_under5,perc_5to19,perc_20plus,perc_caucasian,perc_otherethnicity,perc_nobach,perc_bachplus,median_inc,interaction
10.52048236489583,10.718077729583944,2008,0,1,"Boardman Local School District, Ohio",215,84.7,37066,0.47,0.53,0.05,0.15,0.8,0.9,0.1,0.69,0.31,45164,0
10.513905085497077,10.680539205318292,2013,1,1,"Boardman Local School District, Ohio",250,88.8,36823,0.48,0.52,0.05,0.15,0.8,0.9,0.1,0.72,0.28,43500,1
10.494740425414733,10.590692110640395,2008,0,1,"Bowling Green City School District, Ohio",199,81.9,36124,0.48,0.52,0.03,0.08,0.88,0.91,0.09,0.53,0.47,39762,0
10.532069544936274,10.489300047824898,2013,1,1,"Bowling Green City School District, Ohio",243,86.8,37498,0.47,0.53,0.05,0.1,0.84,0.89,0.11,0.61,0.39,35928,1
10.282779786340269,11.343429309970023,2008,0,1,"Brecksville-Broadview Heights City School District, Ohio",326,91.7,29224,0.51,0.49,0.06,0.19,0.75,0.9,0.1,0.52,0.48,84408,0
10.226223013045296,11.179087754934253,2013,1,1,"Brecksville-Broadview Heights City School District, Ohio",285,96.5,27617,0.49,0.51,0.04,0.19,0.77,0.92,0.08,0.53,0.47,71616,1
10.721812581824302,11.082773119257247,2008,0,1,"Brunswick City School District, Ohio",566,83.9,45333,0.49,0.51,0.07,0.18,0.75,0.96,0.04,0.75,0.25,65040,0
10.743177978201487,11.009472595533651,2013,1,1,"Brunswick City School District, Ohio",571,92.5,46312,0.49,0.51,0.04,0.18,0.78,0.96,0.04,0.77,0.23,60443,1
10.314802185433184,10.519105530586836,2013,1,0,"Burlington Community School District, Iowa",278,73.0,30175,0.48,0.52,0.06,0.17,0.77,0.9,0.1,0.79,0.21,37015,0
10.262804004618312,10.605594474467546,2008,0,0,"Burlington Community School District, Iowa",264,73.1,28646,0.49,0.51,0.07,0.16,0.77,0.9,0.1,0.83,0.17,40359,0
11.062708776623133,10.225933304924201,2008,0,1,"Canton City School District, Ohio",764,62.6,63748,0.47,0.53,0.06,0.19,0.75,0.71,0.29,0.9,0.1,27609,0
11.022180207705091,10.160375309814498,2013,1,1,"Canton City School District, Ohio",703,66.4,61216,0.45,0.55,0.08,0.18,0.75,0.68,0.32,0.89,0.11,25857,1
10.629416491370417,10.801492106722966,2013,1,0,"Cedar Falls Community School District, Iowa",383,82.5,41332,0.48,0.52,0.06,0.13,0.82,0.94,0.06,0.55,0.45,49093,0
10.587417383546464,10.832181051127325,2008,0,0,"Cedar Falls Community School District, Iowa",313,82.1,39632,0.49,0.51,0.05,0.12,0.82,0.94,0.06,0.55,0.45,50623,0
11.712104138830606,10.79939188675334,2013,1,0,"Cedar Rapids Community School District, Iowa",1059,72.2,122039,0.49,0.51,0.07,0.16,0.77,0.88,0.12,0.7,0.3,48990,0
11.708623818805822,10.808575769902289,2008,0,0,"Cedar Rapids Community School District, Iowa",1152,69.0,121615,0.5,0.5,0.06,0.17,0.76,0.9,0.1,0.73,0.27,49442,0
10.96552229846299,11.231967402278203,2008,0,1,"Centerville City School District, Ohio",607,89.5,57844,0.47,0.53,0.05,0.17,0.78,0.9,0.1,0.53,0.47,75505,0
10.944912015167048,10.997522715461125,2013,1,1,"Centerville City School District, Ohio",597,93.1,56664,0.47,0.53,0.05,0.16,0.79,0.87,0.13,0.51,0.49,59725,1
9.977109692406742,11.117361181539327,2008,0,1,"Chardon Local School District, Ohio",231,92.2,21527,0.51,0.49,0.06,0.16,0.78,0.93,0.7,0.67,0.33,67329,0
9.930616219924381,10.978677671259746,2013,1,1,"Chardon Local School District, Ohio",220,95.5,20549,0.47,0.53,0.04,0.18,0.78,0.93,0.7,0.7,0.3,58610,1
9.996932357245992,10.542442504012646,2008,0,1,"Chillicothe City School District, Ohio",232,78.9,21958,0.46,0.54,0.07,0.15,0.79,0.9,0.1,0.86,0.14,37889,0
10.033550436834297,10.412381311452293,2013,1,1,"Chillicothe City School District, Ohio",170,85.9,22777,0.51,0.49,0.04,0.15,0.8,0.9,0.1,0.85,0.15,33268,1
12.71912678431098,10.461702359555922,2008,0,1,"Cincinnati City School District, Ohio",2412,58.0,334076,0.47,0.53,0.07,0.15,0.78,0.53,0.47,0.71,0.29,34950,0
12.709205757649828,10.363346144474624,2013,1,1,"Cincinnati City School District, Ohio",2320,72.0,330778,0.48,0.52,0.07,0.15,0.78,0.53,0.47,0.68,0.32,31676,1
10.94091568787924,10.880967452722706,2008,0,1,"Cleveland Heights-University Heights City School District, Ohio",342,65.5,56438,0.47,0.53,0.08,0.16,0.76,0.6,0.4,0.46,0.54,53154,0
10.95546235835288,10.79170797381519,2013,1,1,"Cleveland Heights-University Heights City School District, Ohio",376,66.8,57265,0.45,0.55,0.07,0.16,0.77,0.57,0.43,0.46,0.54,48615,1
